latency_ms	cdf
0.832000	0.715333
0.832000	0.717333
0.833000	0.719333
0.833000	0.721333
0.834000	0.723333
0.834000	0.725333
0.835000	0.727333
0.836000	0.729333
0.837000	0.731333
0.837000	0.733333
0.837000	0.735333
0.838000	0.737333
0.838000	0.739333
0.839000	0.741333
0.839000	0.743333
0.840000	0.745333
0.841000	0.747333
0.841000	0.749333
0.842000	0.751333
0.842000	0.753333
0.843000	0.755333
0.843000	0.757333
0.844000	0.759333
0.844000	0.761333
0.845000	0.763333
0.846000	0.765333
0.846000	0.767333
0.847000	0.769333
0.847000	0.771333
0.849000	0.773333
0.849000	0.775333
0.850000	0.777333
0.851000	0.779333
0.851000	0.781333
0.851000	0.783333
0.852000	0.785333
0.852000	0.787333
0.853000	0.789333
0.853000	0.791333
0.854000	0.793333
0.854000	0.795333
0.855000	0.797333
0.857000	0.799333
0.857000	0.801667
0.858000	0.803667
0.859000	0.805667
0.859000	0.807667
0.860000	0.809667
0.861000	0.811667
0.862000	0.813667
0.862000	0.815667
0.863000	0.817667
0.863000	0.819667
0.864000	0.821667
0.865000	0.823667
0.866000	0.825667
0.867000	0.827667
0.867000	0.829667
0.868000	0.831667
0.868000	0.833667
0.869000	0.835667
0.870000	0.837667
0.870000	0.839667
0.870000	0.841667
0.871000	0.843667
0.872000	0.845667
0.873000	0.847667
0.874000	0.849667
0.874000	0.851667
0.875000	0.853667
0.876000	0.855667
0.877000	0.857667
0.878000	0.859667
0.878000	0.861667
0.880000	0.863667
0.881000	0.865667
0.882000	0.867667
0.883000	0.869667
0.883000	0.871667
0.884000	0.873667
0.885000	0.875667
0.885000	0.877667
0.887000	0.879667
0.888000	0.881667
0.889000	0.883667
0.890000	0.885667
0.891000	0.887667
0.893000	0.889667
0.893000	0.891667
0.893000	0.893667
0.894000	0.895667
0.895000	0.897667
0.896000	0.899667
0.897000	0.901667
0.898000	0.903667
0.899000	0.905667
0.901000	0.907667
0.903000	0.909667
0.904000	0.911667
0.906000	0.913667
0.908000	0.915667
0.909000	0.917667
0.911000	0.919667
0.912000	0.921667
0.914000	0.923667
0.914000	0.925667
0.916000	0.927667
0.917000	0.929667
0.919000	0.931667
0.919000	0.933667
0.921000	0.935667
0.923000	0.937667
0.925000	0.939667
0.927000	0.941667
0.929000	0.943667
0.931000	0.945667
0.935000	0.947667
0.936000	0.949667
0.938000	0.951667
0.939000	0.953667
0.942000	0.955667
0.948000	0.957667
0.951000	0.959667
0.954000	0.961667
0.956000	0.963667
0.963000	0.965667
0.965000	0.967667
0.974000	0.969667
0.978000	0.971667
0.983000	0.973667
0.986000	0.975667
0.993000	0.977667
1.005000	0.979667
1.015000	0.981667
1.025000	0.983667
1.038000	0.985667
1.051000	0.987667
1.068000	0.989667
1.094000	0.991667
1.109000	0.993667
1.132000	0.995667
1.149000	0.997667
1.379000	1.000000
